id,question_type,span_index,arxiv_id,quote_chars,oracle_rank,chars_before_hit,hit_chunk_chars,oracle@1,oracle@5,oracle@10
a001,ambiguous,0,2306.12873v3,809,1.0,0.0,1046.0,True,True,True
a001,ambiguous,1,2306.12873v3,640,1.0,0.0,876.0,True,True,True
a001,ambiguous,2,2308.15560v2,1162,1.0,0.0,929.0,True,True,True
a002,ambiguous,0,2308.15560v2,1162,1.0,0.0,929.0,True,True,True
a002,ambiguous,1,2312.15796v2,1117,1.0,0.0,938.0,True,True,True
a002,ambiguous,2,2212.12794v2,984,1.0,0.0,910.0,True,True,True
a003,ambiguous,0,2002.00469v3,837,1.0,0.0,1011.0,True,True,True
a003,ambiguous,1,2308.15560v2,1162,1.0,0.0,929.0,True,True,True
a003,ambiguous,2,2403.10555v1,983,1.0,0.0,1099.0,True,True,True
a004,ambiguous,0,2306.12873v3,640,1.0,0.0,876.0,True,True,True
a004,ambiguous,1,2310.19822v1,948,1.0,0.0,1129.0,True,True,True
a004,ambiguous,2,2503.19940v1,557,1.0,0.0,1268.0,True,True,True
a005,ambiguous,0,2306.12873v3,997,1.0,0.0,877.0,True,True,True
a005,ambiguous,1,2306.12873v3,369,3.0,2064.0,1157.0,False,True,True
a006,ambiguous,0,2308.15560v2,1006,1.0,0.0,1164.0,True,True,True
a006,ambiguous,1,2312.15796v2,1117,1.0,0.0,938.0,True,True,True
a006,ambiguous,2,2401.15305v2,1227,1.0,0.0,1060.0,True,True,True
c001,comparative,0,1506.04214v2,153,1.0,0.0,926.0,True,True,True
c001,comparative,1,1706.03458v2,621,1.0,0.0,1018.0,True,True,True
c002,comparative,0,1506.04214v2,169,,,,False,False,False
c002,comparative,1,2507.19513v1,490,1.0,0.0,818.0,True,True,True
c003,comparative,0,2212.12794v2,230,6.0,4817.0,1184.0,False,False,True
c003,comparative,1,2312.15796v2,708,1.0,0.0,1056.0,True,True,True
c004,comparative,0,2212.12794v2,500,1.0,0.0,1133.0,True,True,True
c004,comparative,1,2312.15796v2,57,1.0,0.0,518.0,True,True,True
c005,comparative,0,2212.12794v2,500,1.0,0.0,1133.0,True,True,True
c005,comparative,1,2312.15796v2,352,3.0,2051.0,1202.0,False,True,True
c006,comparative,0,2212.12794v2,298,4.0,2085.0,775.0,False,True,True
c006,comparative,1,2306.12873v3,695,1.0,0.0,1137.0,True,True,True
c007,comparative,0,2212.12794v2,885,2.0,1097.0,881.0,False,True,True
c007,comparative,1,2306.12873v3,369,3.0,2064.0,1157.0,False,True,True
c008,comparative,0,2212.12794v2,587,1.0,0.0,1058.0,True,True,True
c008,comparative,1,2306.12873v3,425,1.0,0.0,1179.0,True,True,True
c009,comparative,0,2509.09052v1,1309,1.0,0.0,1180.0,True,True,True
c009,comparative,1,2403.15598v1,1132,1.0,0.0,1168.0,True,True,True
c010,comparative,0,2312.15796v2,1103,1.0,0.0,1048.0,True,True,True
c010,comparative,1,2306.12873v3,667,1.0,0.0,1055.0,True,True,True
c011,comparative,0,2312.15796v2,1117,1.0,0.0,938.0,True,True,True
c011,comparative,1,2310.19822v1,1161,1.0,0.0,1131.0,True,True,True
c012,comparative,0,2212.12794v2,984,1.0,0.0,910.0,True,True,True
c012,comparative,1,2306.12873v3,1264,1.0,0.0,1074.0,True,True,True
c013,comparative,0,2308.15560v2,1006,1.0,0.0,1164.0,True,True,True
c013,comparative,1,2401.15305v2,1227,1.0,0.0,1060.0,True,True,True
c014,comparative,0,2403.15598v1,909,1.0,0.0,1171.0,True,True,True
c014,comparative,1,2407.02089v2,1196,1.0,0.0,1047.0,True,True,True
f001,factual,0,1506.04214v2,208,1.0,0.0,1086.0,True,True,True
f002,factual,0,1506.04214v2,991,1.0,0.0,1138.0,True,True,True
f003,factual,0,1506.04214v2,480,1.0,0.0,697.0,True,True,True
f004,factual,0,1506.04214v2,135,1.0,0.0,1138.0,True,True,True
f005,factual,0,1506.04214v2,133,2.0,1131.0,1113.0,False,True,True
f006,factual,0,2212.12794v2,230,6.0,4817.0,1184.0,False,False,True
f007,factual,0,2212.12794v2,215,1.0,0.0,850.0,True,True,True
f008,factual,0,2212.12794v2,143,,,,False,False,False
f009,factual,0,2212.12794v2,172,1.0,0.0,1034.0,True,True,True
f010,factual,0,2212.12794v2,271,,,,False,False,False
f011,factual,0,1706.03458v2,704,1.0,0.0,882.0,True,True,True
f012,factual,0,1706.03458v2,460,4.0,1937.0,755.0,False,True,True
f013,factual,0,2507.19513v1,1155,1.0,0.0,818.0,True,True,True
f014,factual,0,1706.03458v2,796,1.0,0.0,1054.0,True,True,True
f015,factual,0,1706.03458v2,98,,,,False,False,False
f016,factual,0,2312.15796v2,536,1.0,0.0,1086.0,True,True,True
f017,factual,0,2312.15796v2,352,3.0,2051.0,1202.0,False,True,True
f018,factual,0,2312.15796v2,143,7.0,5862.0,1045.0,False,False,True
f019,factual,0,2312.15796v2,565,1.0,0.0,1131.0,True,True,True
f020,factual,0,2312.15796v2,758,2.0,1019.0,1052.0,False,True,True
m001,multi_hop,0,2403.10555v1,983,1.0,0.0,1099.0,True,True,True
m001,multi_hop,1,2306.12873v3,914,1.0,0.0,1215.0,True,True,True
m002,multi_hop,0,2306.12873v3,822,1.0,0.0,1078.0,True,True,True
m002,multi_hop,1,2212.12794v2,857,1.0,0.0,1114.0,True,True,True
m003,multi_hop,0,2003.12140v2,796,1.0,0.0,1223.0,True,True,True
m003,multi_hop,1,1506.04214v2,925,1.0,0.0,1110.0,True,True,True
m004,multi_hop,0,2008.08626v2,1234,1.0,0.0,1079.0,True,True,True
m004,multi_hop,1,2002.00469v3,934,1.0,0.0,1177.0,True,True,True
m005,multi_hop,0,2505.24429v2,913,1.0,0.0,1078.0,True,True,True
m005,multi_hop,1,2212.12794v2,1086,1.0,0.0,660.0,True,True,True
m006,multi_hop,0,2408.11438v3,1326,1.0,0.0,973.0,True,True,True
m006,multi_hop,1,2002.00469v3,837,1.0,0.0,1011.0,True,True,True
m007,multi_hop,0,2601.09467v1,1128,1.0,0.0,1267.0,True,True,True
m007,multi_hop,1,2211.02556v1,1822,1.0,0.0,1143.0,True,True,True
m008,multi_hop,0,2603.04461v1,677,1.0,0.0,1079.0,True,True,True
m008,multi_hop,1,2007.04417v2,663,7.0,6291.0,1187.0,False,False,True
m009,multi_hop,0,1905.09771v1,717,1.0,0.0,1043.0,True,True,True
m009,multi_hop,1,1506.04214v2,1119,1.0,0.0,1033.0,True,True,True
m010,multi_hop,0,2502.16036v1,820,1.0,0.0,834.0,True,True,True
m010,multi_hop,1,2211.02556v1,1014,1.0,0.0,1087.0,True,True,True
m011,multi_hop,0,2605.14317v1,1014,1.0,0.0,1077.0,True,True,True
m011,multi_hop,1,2308.15560v2,1064,1.0,0.0,809.0,True,True,True
m012,multi_hop,0,2605.30122v2,800,1.0,0.0,1103.0,True,True,True
m012,multi_hop,1,2007.04417v2,1101,1.0,0.0,1072.0,True,True,True
m013,multi_hop,0,2008.01798v2,990,1.0,0.0,1029.0,True,True,True
m013,multi_hop,1,1506.04214v2,1056,1.0,0.0,1197.0,True,True,True
m014,multi_hop,0,2308.04460v1,811,1.0,0.0,1030.0,True,True,True
m014,multi_hop,1,2211.02556v1,951,1.0,0.0,1113.0,True,True,True
