id,question_type,difficulty,n_evidence,n_papers,n_relevant_chunks,n_retrieved,scorable,mrr,first_hit_rank,recall@1,coverage@1,ndcg@1,hit_spans@1,recall@3,coverage@3,ndcg@3,hit_spans@3,recall@5,coverage@5,ndcg@5,hit_spans@5,recall@10,coverage@10,ndcg@10,hit_spans@10,recall@20,coverage@20,ndcg@20,hit_spans@20,recall@B5000,coverage@B5000,k@B5000,hit_spans@B5000,recall@B10000,coverage@B10000,k@B10000,hit_spans@B10000,recall@B20000,coverage@B20000,k@B20000,hit_spans@B20000,recall@B40000,coverage@B40000,k@B40000,hit_spans@B40000
a001,ambiguous,hard,3,2,5,50,True,1.0,1.0,1.0,0.6666666666666666,1.0,0;1,1.0,0.6666666666666666,0.46927872602275644,0;1,1.0,0.6666666666666666,0.3391602052736161,0;1,1.0,0.6666666666666666,0.3391602052736161,0;1,1.0,0.6666666666666666,0.43376655198028047,0;1,1.0,0.6666666666666666,2.0,0;1,1.0,0.6666666666666666,4.0,0;1,1.0,0.6666666666666666,10.0,0;1,1.0,0.6666666666666666,20.0,0;1
a002,ambiguous,medium,3,3,6,50,True,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,0.0,4.0,,0.0,0.0,9.0,,0.0,0.0,18.0,
a003,ambiguous,medium,3,3,4,50,True,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,0.0,4.0,,0.0,0.0,9.0,,0.0,0.0,18.0,
a004,ambiguous,hard,3,3,5,50,True,0.05555555555555555,18.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.3333333333333333,0.07984133538066794,0,0.0,0.0,2.0,,0.0,0.0,5.0,,0.0,0.0,10.0,,1.0,0.3333333333333333,20.0,0
a005,ambiguous,hard,2,1,3,50,True,0.5,2.0,0.0,0.0,0.0,,1.0,0.5,0.2960819109658652,0,1.0,0.5,0.2960819109658652,0,1.0,0.5,0.2960819109658652,0,1.0,0.5,0.2960819109658652,0,1.0,0.5,3.0,0,1.0,0.5,5.0,0,1.0,0.5,10.0,0,1.0,0.5,20.0,0
a006,ambiguous,hard,3,3,6,50,True,1.0,1.0,1.0,0.3333333333333333,1.0,1,1.0,0.3333333333333333,0.46927872602275644,1,1.0,0.3333333333333333,0.3391602052736161,1,1.0,0.3333333333333333,0.30260241349881345,1,1.0,0.3333333333333333,0.30260241349881345,1,1.0,0.3333333333333333,2.0,1,1.0,0.3333333333333333,4.0,1,1.0,0.3333333333333333,9.0,1,1.0,0.3333333333333333,19.0,1
c001,comparative,medium,2,2,3,50,True,0.5,2.0,0.0,0.0,0.0,,1.0,0.5,0.2960819109658652,1,1.0,0.5,0.2960819109658652,1,1.0,0.5,0.4632423659320675,1,1.0,0.5,0.4632423659320675,1,1.0,0.5,2.0,1,1.0,0.5,5.0,1,1.0,0.5,10.0,1,1.0,0.5,20.0,1
c002,comparative,hard,2,2,3,50,True,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,0.0,4.0,,0.0,0.0,9.0,,0.0,0.0,19.0,
c003,comparative,medium,2,2,4,50,True,0.1,10.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.5,0.11284514134893527,0,1.0,0.5,0.11284514134893527,0,0.0,0.0,2.0,,0.0,0.0,4.0,,0.0,0.0,9.0,,1.0,0.5,19.0,0
c004,comparative,easy,2,2,3,50,True,0.25,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.5,0.20210734650054757,0,1.0,0.5,0.20210734650054757,0,1.0,0.5,0.20210734650054757,0,0.0,0.0,2.0,,1.0,0.5,4.0,0,1.0,0.5,9.0,0,1.0,0.5,19.0,0
c005,comparative,medium,2,2,3,50,True,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,2.0,,0.0,0.0,4.0,,0.0,0.0,9.0,,0.0,0.0,19.0,
c006,comparative,medium,2,2,2,50,True,0.06666666666666667,15.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.5,0.1532867981913646,1,0.0,0.0,3.0,,0.0,0.0,6.0,,0.0,0.0,11.0,,1.0,0.5,20.0,1
c007,comparative,easy,2,2,3,50,True,0.125,8.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.5,0.1480409554829326,0,1.0,0.5,0.2789429456511298,0,0.0,0.0,2.0,,0.0,0.0,5.0,,1.0,0.5,10.0,0,1.0,0.5,20.0,0
c008,comparative,hard,2,2,3,50,True,0.0625,16.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.5,0.11480929472601784,0,0.0,0.0,2.0,,0.0,0.0,5.0,,0.0,0.0,10.0,,1.0,0.5,20.0,0
c009,comparative,hard,2,2,4,50,True,1.0,1.0,1.0,0.5,1.0,1,1.0,1.0,0.7653606369886217,0;1,1.0,1.0,0.6366824387328317,0;1,1.0,1.0,0.6366824387328317,0;1,1.0,1.0,0.7455761998010638,0;1,1.0,1.0,2.0,0;1,1.0,1.0,4.0,0;1,1.0,1.0,9.0,0;1,1.0,1.0,18.0,0;1
c010,comparative,medium,2,2,3,50,True,1.0,1.0,1.0,0.5,1.0,1,1.0,1.0,0.7039180890341347,0;1,1.0,1.0,0.7039180890341347,0;1,1.0,1.0,0.7039180890341347,0;1,1.0,1.0,0.8124989621351681,0;1,1.0,0.5,2.0,1,1.0,1.0,4.0,0;1,1.0,1.0,10.0,0;1,1.0,1.0,19.0,0;1
c011,comparative,hard,2,2,3,50,True,0.3333333333333333,3.0,0.0,0.0,0.0,,1.0,0.5,0.23463936301137822,1,1.0,0.5,0.23463936301137822,1,1.0,1.0,0.37590633587120725,0;1,1.0,1.0,0.37590633587120725,0;1,0.0,0.0,2.0,,1.0,0.5,5.0,1,1.0,1.0,10.0,0;1,1.0,1.0,19.0,0;1
c012,comparative,hard,2,2,4,50,True,0.25,4.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.5,0.16812753627111746,0,1.0,1.0,0.29127873064148246,0;1,1.0,1.0,0.29127873064148246,0;1,0.0,0.0,2.0,,1.0,0.5,4.0,0,1.0,1.0,9.0,0;1,1.0,1.0,19.0,0;1
