id,question_type,difficulty,n_evidence,n_papers,n_relevant_chunks,n_retrieved,scorable,mrr,first_hit_rank,recall@1,coverage@1,ndcg@1,hit_spans@1,recall@3,coverage@3,ndcg@3,hit_spans@3,recall@5,coverage@5,ndcg@5,hit_spans@5,recall@10,coverage@10,ndcg@10,hit_spans@10,recall@20,coverage@20,ndcg@20,hit_spans@20,recall@B5000,coverage@B5000,k@B5000,hit_spans@B5000,recall@B10000,coverage@B10000,k@B10000,hit_spans@B10000,recall@B20000,coverage@B20000,k@B20000,hit_spans@B20000,recall@B40000,coverage@B40000,k@B40000,hit_spans@B40000
a001,ambiguous,hard,3,2,6,50,True,0.2,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.3333333333333333,0.13120507751234178,0,1.0,0.6666666666666666,0.20453430723937174,0;1,1.0,0.6666666666666666,0.20453430723937174,0;1,0.0,0.0,4.0,,1.0,0.3333333333333333,9.0,0,1.0,0.6666666666666666,19.0,0;1,1.0,0.6666666666666666,39.0,0;1
a002,ambiguous,medium,3,3,6,50,True,0.07692307692307693,13.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.3333333333333333,0.07947838320659593,0,0.0,0.0,5.0,,0.0,0.0,11.0,,1.0,0.3333333333333333,21.0,0,1.0,0.6666666666666666,42.0,0;2
a003,ambiguous,medium,3,3,5,50,True,1.0,1.0,1.0,0.3333333333333333,1.0,0,1.0,0.3333333333333333,0.46927872602275644,0,1.0,0.3333333333333333,0.3391602052736161,0,1.0,0.3333333333333333,0.3391602052736161,0,1.0,0.3333333333333333,0.3391602052736161,0,1.0,0.3333333333333333,4.0,0,1.0,0.3333333333333333,9.0,0,1.0,0.3333333333333333,18.0,0,1.0,0.3333333333333333,38.0,0
a004,ambiguous,hard,3,3,5,50,True,0.058823529411764705,17.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.3333333333333333,0.08133484538841967,0,0.0,0.0,4.0,,0.0,0.0,9.0,,1.0,0.3333333333333333,20.0,0,1.0,0.3333333333333333,38.0,0
a005,ambiguous,hard,2,1,3,50,True,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,5.0,,0.0,0.0,10.0,,0.0,0.0,21.0,,0.0,0.0,40.0,
a006,ambiguous,hard,3,3,6,50,True,0.04,25.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,4.0,,0.0,0.0,9.0,,0.0,0.0,18.0,,1.0,0.6666666666666666,36.0,0;2
c001,comparative,medium,2,2,3,50,True,1.0,1.0,1.0,0.5,1.0,1,1.0,0.5,0.46927872602275644,1,1.0,0.5,0.46927872602275644,1,1.0,0.5,0.6049306994552042,1,1.0,0.5,0.6049306994552042,1,1.0,0.5,5.0,1,1.0,0.5,10.0,1,1.0,0.5,21.0,1,1.0,0.5,41.0,1
c002,comparative,hard,2,2,3,50,True,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,5.0,,0.0,0.0,10.0,,0.0,0.0,19.0,,0.0,0.0,38.0,
c003,comparative,medium,2,2,4,50,True,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,5.0,,0.0,0.0,10.0,,0.0,0.0,21.0,,0.0,0.0,40.0,
c004,comparative,easy,2,2,3,50,True,0.5,2.0,0.0,0.0,0.0,,1.0,0.5,0.2960819109658652,0,1.0,0.5,0.2960819109658652,0,1.0,0.5,0.2960819109658652,0,1.0,0.5,0.2960819109658652,0,1.0,0.5,5.0,0,1.0,0.5,10.0,0,1.0,0.5,20.0,0,1.0,0.5,41.0,0
